Country Name,"Country Code","Series Name","Series Code","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]"
Afghanistan,"AFG","Trade (% of GDP)","NE.TRD.GNFS.ZS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","46.7098945514103"
Albania,"ALB","Trade (% of GDP)","NE.TRD.GNFS.ZS","61.6092610436407","64.2474462587009","65.9914650336802","64.8232150960777","65.0379383187697","69.1162926602322","72.2019089483674","79.9119008919954","75.2485472798728","73.3213575646169","75.5325329687378","80.6989985298954","76.9683583166821","75.7506185619748","75.0212023084129","71.2794476606014","74.0144504546815","76.7873817898989","75.6940783717425","75.382128932689","59.5206994391875"
Algeria,"DZA","Trade (% of GDP)","NE.TRD.GNFS.ZS","62.8583436360347","54.5296491177208","56.5896052814114","57.7691353044878","61.3579975707176","66.8404602203906","65.9152919677621","67.5454733939763","71.0284922505261","64.2847547238993","63.4912159928425","62.2200899610479","60.7576393340605","59.151008157244","56.9235419669867","53.2046225904145","49.7609327925216","49.8208161712587","52.4361676779223","46.5068426081672","40.3897565625388"
American Samoa,"ASM","Trade (% of GDP)","NE.TRD.GNFS.ZS","NA","NA","210.9375","207.442748091603","202.357563850688","223.2","229.817444219067","218.146718146718","249.821428571429","161.333333333333","157.940663176265","157.543859649123","176.40625","173.824451410658","174.805598755832","162.407132243685","159.165424739195","161.437908496732","171.830985915493","156.568778979907","154.368932038835"
Andorra,"AND","Trade (% of GDP)","NE.TRD.GNFS.ZS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Angola,"AGO","Trade (% of GDP)","NE.TRD.GNFS.ZS","NA","NA","90.5708209731095","90.6807161820483","90.3860384733605","95.3414592884703","84.6246041171541","97.2256306999958","108.680408741993","102.263183257986","90.9940631355109","89.0369443425845","81.9394785486361","77.3498013716078","69.5801424481147","54.9793808779835","47.0155661405313","45.6643423539921","58.916480075976","60.7148243336685","54.3442286847189"
Antigua and Barbuda,"ATG","Trade (% of GDP)","NE.TRD.GNFS.ZS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","141.546161057996","130.071549851721","132.025917905085","127.664323582144","130.655152659419","137.537783631991","94.289529886499"
Argentina,"ARG","Trade (% of GDP)","NE.TRD.GNFS.ZS","22.6224447777343","21.8522554515453","41.7527243585642","40.6447480311085","40.692646108947","40.5512709706238","40.4334798719151","40.945170618571","40.4026733790382","34.0571269054879","34.9710132635696","35.2061549999644","30.5265423717108","29.3339290021037","28.4067936452275","22.4862260889792","26.0938878488799","25.2896011376779","30.7625359549926","32.6306150458499","30.203698807416"
Armenia,"ARM","Trade (% of GDP)","NE.TRD.GNFS.ZS","72.2333302273367","69.8642663925336","73.9845018432309","80.0513676022426","73.0706339919371","70.1397385835334","61.0301379818566","56.9750470853147","54.5423279613666","57.2742357441995","64.642975973633","69.4355736620453","75.9616759606704","77.5550481598824","75.778866962639","71.6820743427575","76.0779674593548","87.202376539837","92.473107021212","97.847004865327","70.1213571368789"
Aruba,"ABW","Trade (% of GDP)","NE.TRD.GNFS.ZS","145.072879516204","140.391108618306","133.230771421249","132.794291274023","132.430929795173","145.050280144237","141.042626734626","139.972309491093","139.110149824701","137.556575933708","135.464654677581","154.437786862887","156.645197205944","155.731904417046","156.491052766236","140.493001133496","136.887263320827","138.716620095236","138.824972245657","137.9619293134","122.723738046404"
