Country Name,"Country Code","Series Name","Series Code","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]"
Burkina Faso,"BFA","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","76.847","76.538","76.292","75.898","75.506","75.102","74.767","74.479","74.215","74.13","71.738"
Burundi,"BDI","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","77.156","77.307","77.448","77.59","77.697","78.337","78.843","79.093","79.126","78.909","77.737"
Cabo Verde,"CPV","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","52.812","52.651","52.546","52.404","52.24","52.109","52.02","51.936","48.798","50.468","45.581"
Cambodia,"KHM","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","84.098","84.946","82.568","79.867","79.737","79.29","81.149","81.294","81.805","82.324","82.097"
Cameroon,"CMR","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","73.097","72.237","71.371","70.475","69.551","68.65","67.747","66.832","65.919","65.003","63.358"
Canada,"CAN","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","61.274","61.509","61.638","61.788","61.385","61.311","61.018","61.564","61.721","62.065","57.907"
Cayman Islands,"CYM","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Central African Republic,"CAF","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","68.621","68.714","68.884","69.036","69.169","69.181","69.166","69.14","69.153","69.08","67.986"
Chad,"TCD","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","63.568","63.055","62.565","62.009","61.474","60.926","60.369","59.82","59.293","59.299","58.368"
Channel Islands,"CHI","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","55.748","55.06","54.724","54.251","54.013","54.314","54.509","54.696","54.836","54.767","53.719"
Chile,"CHL","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","55.209","57.091","57.499","57.88","57.918","58.149","58.008","58.383","58.389","58.346","50.196"
China,"CHN","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","67.746","67.636","67.185","66.751","66.425","66.078","65.739","65.295","64.887","64.307","62.435"
Colombia,"COL","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","59.598","60.569","61.293","61.053","61.096","61.275","60.492","60.015","59.131","57.709","53.279"
Comoros,"COM","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","41.413","41.741","42.051","42.398","42.696","44.226","45.726","47.259","48.769","50.274","51.082"
"Congo, Dem. Rep.","COD","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","65.191","64.116","63.064","62.839","62.626","62.391","62.081","61.769","61.53","61.335","60.043"
