Country Name,"Country Code","Series Name","Series Code","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]"
Bermuda,"BMU","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Bhutan,"BTN","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","47.178","48.143","49.218","50.404","51.446","52.15","52.699","53.142","53.374","40.161","40.599","36.506","31.364","28.547","30.791","28.772","26.798","24.875","27.673","28.734"
Bolivia,"BOL","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","44.005","43.525","43.039","42.555","42.075","41.598","41.125","40.656","40.19","39.725","39.263","38.802","38.341","37.88","37.419","36.96","38.218","44.228","47.455","49.142"
Bosnia and Herzegovina,"BIH","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","26.592","25.93","25.408","24.898","24.376","23.754","23.261","22.942","23.072","22.63","22.646","22.47","22.184","22.113","22.13","22.077","21.813","21.674","21.443","20.802"
Botswana,"BWA","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","36.506","36.673","36.84","37.008","37.175","37.343","36.765","36.191","35.621","34.69","34.339","33.99","33.642","33.296","32.952","32.61","32.27","31.932","31.595","31.917"
Brazil,"BRA","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","50.347","52.439","52.114","53.528","55.219","53.946","54.025","53.356","53.17","51.343","49.512","48.559","47.529","47.015","47.053","48.091","49.396","49.437","50.749","44.513"
British Virgin Islands,"VGB","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Brunei Darussalam,"BRN","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","44.89","44.282","43.675","43.071","42.468","41.868","41.27","40.674","40.082","39.492","38.905","38.321","37.741","37.165","36.592","36.022","35.457","35.272","31.503","31.208"
Bulgaria,"BGR","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","32.565","28.597","25.694","25.629","24.533","26.361","25.959","26.079","24.815","26.591","24.813","25.311","24.698","22.65","21.169","19.558","21.836","19.305","20.082","18.168"
Burkina Faso,"BFA","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","70.408","69.841","69.27","68.701","68.124","67.547","66.969","66.385","65.799","65.199","64.593","63.978","63.356","62.729","62.096","61.456","60.809","60.159","59.505","56.62"
