Country Name,"Country Code","Series Name","Series Code","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]"
Philippines,"PHL","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","3.77","3.698","3.616","3.527","3.554","3.795","4.052","3.434","3.72","3.858","3.605","3.592","3.504","3.497","3.6","3.068","2.695","2.552","2.338","2.237","2.522"
Poland,"POL","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","14.928","18.435","20.211","19.899","18.822","17.592","13.794","9.551","7.069","8.131","9.578","9.576","10.031","10.293","8.971","7.475","6.141","4.867","3.835","3.267","3.155"
Portugal,"PRT","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","3.806","3.829","4.497","6.132","6.319","7.582","7.649","7.965","7.553","9.432","10.771","12.715","15.509","16.237","13.88","12.405","11.058","8.878","6.966","6.422","6.85"
Puerto Rico (US),"PRI","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","10.08","11.4","11.94","11.78","10.31","11.35","11.01","10.93","11.48","15","16.1","15.7","14.5","14.3","13.9","12","11.8","10.8","9.2","8.3","8.89"
Qatar,"QAT","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","0.87","0.87","0.87","0.87","0.87","0.87","0.87","0.52","0.31","0.31","0.45","0.56","0.48","0.28","0.2","0.17","0.15","0.14","0.11","0.1","0.14"
Romania,"ROU","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","6.969","6.561","8.112","6.95","7.719","7.174","7.27","6.413","5.787","6.859","6.959","7.177","6.794","7.096","6.802","6.812","5.901","4.927","4.187","3.912","5.035"
Russian Federation,"RUS","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","10.581","8.978","7.875","8.21","7.763","7.124","7.055","6.002","6.205","8.301","7.407","6.571","5.484","5.513","5.212","5.615","5.591","5.238","4.871","4.513","5.62"
Rwanda,"RWA","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","11.699","11.732","11.432","11.658","11.699","11.842","11.586","11.58","11.517","11.625","11.637","11.756","11.671","11.768","11.837","11.831","11.788","11.875","10.759","11.236","11.829"
Samoa,"WSM","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","4.733","4.96","4.975","5.038","5.162","5.212","5.321","5.425","5.538","5.646","5.621","5.68","8.752","8.772","8.72","8.901","9.063","9.4","8.649","7.858","7.467"
San Marino,"SMR","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Sao Tome and Principe,"STP","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","14.4","15.73","17.63","16.36","16.12","16.47","16.65","16.021","15.421","15.136","14.628","14.229","13.59","12.476","11.428","10.591","9.684","8.808","8.712","8.835","9.679"
Saudi Arabia,"SAU","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","4.57","4.618","5.265","5.563","5.822","6.051","6.254","5.734","5.085","5.377","5.55","5.77","5.622","5.6","5.877","5.6","5.6","5.89","6.029","5.636","7.66"
Senegal,"SEN","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","2.638","2.674","2.82","2.781","2.775","2.679","2.755","2.8","2.816","2.807","2.795","2.853","3.896","5.012","5.849","6.757","4.455","4.078","3.453","2.863","3.432"
Serbia,"SRB","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","12.6","12.8","13.8","15.2","18.5","20.85","20.85","18.06","13.67","16.116","19.204","22.959","24","22.154","19.223","17.66","15.257","13.477","12.733","10.395","9.011"
Seychelles,"SYC","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Sierra Leone,"SLE","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","4.137","4.235","3.909","3.879","3.42","3.734","3.89","4.022","4.132","4.268","4.34","4.388","4.378","4.376","4.678","4.483","4.182","3.656","3.192","3.204","3.509"
Singapore,"SGP","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","3.7","3.76","5.65","5.93","5.84","5.59","4.48","3.9","3.96","5.86","4.12","3.89","3.72","3.86","3.74","3.79","4.08","4.2","3.613","3.1","4.1"
Sint Maarten (Dutch part),"SXM","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Slovak Republic,"SVK","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","18.546","19.148","18.541","17.549","18.206","16.276","13.395","11.16","9.514","12.023","14.387","13.634","13.966","14.226","11.536","11.492","9.679","8.142","6.544","5.761","6.719"
Slovenia,"SVN","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","6.918","5.682","5.922","6.479","6.012","6.506","5.95","4.818","4.371","5.858","7.236","8.166","8.841","10.103","9.668","8.962","8","6.564","5.108","4.446","4.971"
Solomon Islands,"SLB","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","2.446","2.642","2.698","2.286","2.026","1.879","1.916","1.978","1.998","2.02","1.617","1.292","0.984","0.694","0.73","0.736","0.736","0.727","0.722","0.746","0.868"
"Somalia, Fed. Rep.","SOM","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","18.678","18.665","18.658","18.648","18.653","18.671","18.705","18.687","18.714","18.724","18.741","18.761","18.771","18.655","18.595","18.495","18.611","18.455","18.7","18.828","19.414"
South Africa,"ZAF","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","22.788","22.652","22.579","22.679","22.567","22.472","22.304","22.26","22.407","23.523","24.683","24.639","24.727","24.561","24.89","25.149","26.536","27.035","26.906","28.468","29.217"
South Sudan,"SSD","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","12.309","12.278","12.235","12.234","12.256","12.266","12.268","12.266","12.298","12.438","12.473","12.585","12.803","12.665","12.561","12.464","12.854","12.983","12.853","12.656","14.246"
Spain,"ESP","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","13.785","10.348","11.146","11.283","11.09","9.146","8.452","8.232","11.254","17.857","19.86","21.39","24.789","26.094","24.441","22.057","19.635","17.224","15.255","14.104","15.532"
Sri Lanka,"LKA","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","7.74","7.9","8.76","8.22","8.38","7.67","6.5","5.97","5.22","5.85","4.784","4.118","3.88","4.186","4.157","4.519","4.242","4.046","4.318","4.67","5.364"
St. Kitts and Nevis,"KNA","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
St. Lucia,"LCA","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","16.49","18.538","20.39","22.18","20.97","18.7","16","14","12.72","15.37","17.118","18.86","19.06","22.21","21.583","20.84","19.932","19.136","19.329","15.613","25.224"
St. Martin (French part),"MAF","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
St. Vincent and the Grenadines,"VCT","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","20.8","21.1","20.623","19.985","19.545","19.461","19.162","18.934","18.79","19.365","19.924","20.006","19.833","19.356","19.237","19.135","19.029","19.024","19.005","19.248","20.635"
Sudan,"SDN","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","15.595","15.56","15.514","15.515","15.538","15.545","15.542","15.534","15.566","13","15.168","17.44","16.973","16.273","15.41","14.39","13.656","13","12.347","11.697","11.995"
Suriname,"SUR","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","12.873","12.047","11.187","10.336","9.49","9.302","9.142","9.017","8.854","8.72","7.15","7.54","8.1","6.6","6.94","7.22","7.917","7.905","7.817","7.755","8.973"
Sweden,"SWE","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","5.466","4.73","4.965","5.555","6.693","7.81","7.066","6.161","6.235","8.351","8.61","7.804","7.976","8.052","7.954","7.432","6.99","6.718","6.365","6.833","8.291"
Switzerland,"CHE","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","2.658","2.49","2.924","4.117","4.316","4.437","3.995","3.641","3.35","4.109","4.808","4.409","4.491","4.747","4.826","4.801","4.918","4.797","4.713","4.394","4.817"
Syrian Arab Republic,"SYR","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","9.587","11.63","10.94","10.28","9.513","8.81","8.17","8.42","10.94","8.14","8.61","8.626","13.8","14.5","14.782","14.244","13.798","13.603","13.505","13.369","15.179"
Tajikistan,"TJK","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","4.15","3.75","3.95","3.85","3.45","3.45","3.65","2.874","4.942","7.028","7.037","7.04","7.022","7.019","7.024","7.033","7.036","7.035","7.028","7.026","7.576"
Tanzania,"TZA","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","3.129","2.994","3.023","3.053","3.105","3.193","3.299","3.023","2.775","2.5","3.03","3.47","3.223","2.93","2.125","2.009","1.931","1.854","1.792","1.735","1.792"
Thailand,"THA","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","2.389","2.6","1.82","1.54","1.51","1.35","1.22","1.18","1.18","1.49","0.622","0.66","0.58","0.249","0.576","0.597","0.688","0.83","0.765","0.716","1.099"
Timor-Leste,"TLS","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","3.529","3.386","3.371","3.54","3.668","3.611","3.634","3.523","3.434","3.289","3.301","3.385","3.47","3.57","3.618","3.678","4.657","4.254","3.765","3.148","2.808"
Togo,"TGO","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","4.162","4.108","4.087","3.957","3.992","4.149","4.229","3.822","3.279","2.847","2.379","1.982","2.029","2.084","2.141","2.204","2.968","3.744","2.9","2.036","2.231"
Tonga,"TON","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","3.966","4.368","4.683","5.18","3.878","2.542","1.09","1.21","1.279","1.419","1.501","1.594","1.638","1.75","1.914","2.022","2.048","2.137","2.248","2.165","2.712"
Trinidad and Tobago,"TTO","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","12.1","10.88","10.39","10.48","8.33","7.95","6.27","5.54","4.63","5.28","4.033","3.425","3.718","2.683","2.477","2.428","3.207","3.389","3.497","3.523","4.206"
Tunisia,"TUN","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","14.94","14.4","14.55","14.51","14.23","12.872","12.51","12.365","12.444","13.29","13.049","18.334","17.63","15.934","14.259","15.159","15.557","15.33","15.459","17.153","17.651"
Turkiye,"TUR","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","6.495","8.381","10.358","10.542","10.838","10.636","10.227","10.285","10.965","14.026","11.879","9.789","9.21","9.713","9.901","10.304","10.899","10.919","10.956","13.73","13.148"
Turkmenistan,"TKM","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","11.73","10.898","10.141","9.289","8.419","7.495","6.601","5.719","4.852","4","4","4.003","3.994","3.993","4.005","4.016","4.026","4.035","4.036","4.035","4.489"
Turks and Caicos Islands,"TCA","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Tuvalu,"TUV","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Uganda,"UGA","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","3.531","3.522","3.5","3.6","2.699","1.9","2.264","2.667","3.035","3.6","3.623","3.523","3.551","1.91","2.357","2.681","3.002","3.428","3.249","3.057","3.819"
Ukraine,"UKR","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","11.707","11.061","10.136","9.057","8.59","7.18","6.81","6.351","6.363","8.84","8.1","7.851","7.529","7.17","9.27","9.14","9.35","9.5","8.799","8.194","9.475"
United Arab Emirates,"ARE","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","2.25","2.443","2.659","2.903","2.965","3.12","2.964","2.934","2.818","2.932","2.798","2.587","2.323","2.125","1.999","1.793","1.64","2.462","2.236","2.331","4.294"
United Kingdom,"GBR","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","5.558","4.696","5.037","4.807","4.594","4.884","5.472","5.399","5.748","7.683","7.973","8.195","8.279","7.752","6.398","5.552","4.909","4.501","4.145","3.657","4.472"
United States,"USA","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","3.992","4.731","5.783","5.989","5.529","5.084","4.623","4.622","5.784","9.254","9.633","8.949","8.069","7.375","6.168","5.28","4.869","4.355","3.896","3.669","8.055"
Uruguay,"URY","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","12.627","15.052","16.648","16.661","12.98","12.009","10.844","9.403","8.025","7.74","7.158","6.307","6.451","6.444","6.547","7.488","7.841","7.89","8.336","8.836","10.413"
Uzbekistan,"UZB","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","12.301","11.279","10.256","9.22","8.152","7.092","6.035","4.99","4.89","5.04","5.36","4.96","4.87","4.86","5.09","5.15","5.16","5.83","5.392","4.936","5.293"
Vanuatu,"VUT","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","8.266","8.415","8.598","8.659","8.432","8.121","8.006","6.855","5.663","4.565","4.681","4.811","4.936","5.038","5.137","5.168","5.197","5.247","5.353","5.444","4.046"
"Venezuela, RB","VEN","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","13.99","13.04","16.17","16.78","15.07","10.663","8.606","7.279","6.245","6.097","7.112","6.902","6.601","7.54","6.821","6.139","5.319","5.045","5.468","5.89","7.53"
Viet Nam,"VNM","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","2.26","2.76","2.12","2.25","2.14","2.078","2.046","2.026","1.889","1.737","1.114","0.999","1.027","1.316","1.256","1.848","1.848","1.874","1.161","1.681","2.103"
Virgin Islands (U.S.),"VIR","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","9.834","9.969","10.227","10.574","10.266","10.228","9.734","9.523","9.605","10.864","11.059","11.337","11.387","11.802","11.871","11.649","11.734","11.445","11.703","11.774","14.366"
West Bank and Gaza,"PSE","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","10.625","21.493","27.465","23.004","23.215","20.016","19.014","18.282","22.913","20.452","21.416","17.597","19.202","19.894","20.526","23.005","23.939","25.677","26.256","25.34","25.895"
"Yemen, Rep.","YEM","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","11.557","11.724","11.839","12.014","12.131","12.213","12.349","12.486","12.656","12.762","12.777","13.311","13.473","13.673","13.467","17.9","18.42","18.611","17.593","17.213","17.963"
Zambia,"ZMB","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","12.93","13.404","14.131","14.704","15.332","15.9","13.229","10.559","7.93","10.583","13.19","10.548","7.85","7.272","6.576","5.951","5.244","4.529","5.032","5.538","6.032"
Zimbabwe,"ZWE","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","5.685","5.313","5.005","4.738","4.39","4.632","4.767","5.008","5.401","5.476","5.469","5.368","5.057","4.948","4.774","5.399","5.896","6.35","6.788","7.373","8.617"
,"","","","","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","","","","",""
Data from database: World Development Indicators,"","","","","","","","","","","","","","","","","","","","","","","",""
Last Updated: 04/08/2026,"","","","","","","","","","","","","","","","","","","","","","","",""
